awards,corporations,draft,expansions,generations,map,milestones,players,scores,timestamp,wgt,country,colonies,rank,key 
"['MAGNATE', 'SPACE BARON', 'VENUPHILE']","['PHOBOLOG', 'POSEIDON', 'MORNING STAR', 'VALLEY TRUST', 'STORMCRAFT']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'HOVERLORD']",5,"['89', '84', '82', '81', '72']",1553462847,NO,US,"['ENCELADUS', 'EUROPA', 'LUNA', 'MIRANDA', 'PLUTO', 'TITAN', 'TRITON']",3,-LalaTr6F6yfLLDhAr3U
"['LANDLORD', 'SCIENTIST', 'THERMALIST']","['HELION', 'MINING GUILD', 'ECOLINE', 'PHOBOLOG']",YES,['CORPORATE'],10,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",4,"['67', '63', '56', '54']",1553462933,NO,US,,0,-LalaneO8vSb9eAA0dDF
"['MAGNATE', 'CONTRACTOR', 'VENUPHILE']","['MORNING STAR', 'MINING GUILD', 'THORGATE', 'HELION']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",12,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'HOVERLORD']",4,"['92', '88', '79', '63']",1553465416,YES,,"['CERES', 'IO', 'LUNA', 'MIRANDA', 'TITAN', 'TRITON']",0,-LalkGdjiQxLi4TObggh
"['ESTATE DEALER', 'BENEFACTOR', 'VENUPHILE']","['BEGINNER', 'ARCADIAN COMMUNITIES', 'VITOR', 'INVENTRIX', 'POINT LUNA']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,ELYSIUM,"['GENERALIST', 'LEGEND', 'HOVERLORD']",5,"['70', '68', '65', '52', '51']",1553465596,YES,,"['CALLISTO', 'GANYMEDE', 'IO', 'LUNA', 'PLUTO', 'TITAN', 'TRITON']",0,-LalkxYichD4NdxI3tk0
,"['PHOBOLOG', 'ECOLINE', 'MANUTECH', 'CREDICOR']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",10,ELYSIUM,,4,"['80', '73', '65', '52']",1553465825,YES,,,0,-LallpT7GsuYWwAr4_zx
,"['SATURN SYSTEMS', 'TERACTOR', 'CHEUNG SHING MARS', 'POLYPHEMOS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",12,HELLAS,,4,"['91', '85', '81', '78']",1553465943,YES,,,0,-LalmHHiaJu3x0HvCN1h
,"['STORMCRAFT', 'APHRODITE', 'CREDICOR', 'ARCADIAN COMMUNITIES', 'CHEUNG SHING MARS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,ELYSIUM,,5,"['68', '56', '51', '48', '39']",1553466113,YES,,,0,-LalmvlKdAxZA1jN-tr2
"['SPACE BARON', 'EXCENTRIC', 'CONTRACTOR']","['ARIDOR', 'ARCADIAN COMMUNITIES', 'POLYPHEMOS', 'RECYCLON', 'PHOBOLOG']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'RIM SETTLER']",5,"['74', '65', '62', '62', '61']",1553466242,YES,,,0,-LalnQSKqoT8qPOve130
"['LANDLORD', 'THERMALIST', 'MINER']","['CREDICOR', 'PHOBOLOG', 'THORGATE', 'POSEIDON', 'POLYPHEMOS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",8,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",5,"['62', '51', '50', '48', '45']",1553466330,YES,,,0,-Lalnkvxloa92PmoKI7q
"['ESTATE DEALER', 'BENEFACTOR', 'VENUPHILE']","['ECOLINE', 'STORMCRAFT', 'THARSIS REPUBLIC', 'SATURN SYSTEMS', 'HELION']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'HOVERLORD']",5,"['77', '61', '56', '56', '52']",1553466480,YES,,,0,-LaloKQynpcPuCIqjlPl
"['CULTIVATOR', 'CONTRACTOR']","['RECYCLON', 'ARIDOR', 'POSEIDON', 'MORNING STAR', 'MINING GUILD']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",5,"['63', '63', '55', '53', '47']",1553466634,YES,,,0,-Lalov4_JLN5UL0ZSfae
"['ESTATE DEALER', 'BENEFACTOR', 'VENUPHILE']","['ARIDOR', 'ECOLINE', 'BEGINNER', 'MANUTECH']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",10,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",4,"['73', '65', '60', '59']",1553466995,YES,,,0,-LalqIKgTcl77jdiwbd1
"['MAGNATE', 'SPACE BARON', 'VENUPHILE']","['POSEIDON', 'INTERPLAN. CINEMATICS', 'TERACTOR', 'CHEUNG SHING MARS', 'INVENTRIX']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",10,HELLAS,"['DIVERSIFIER', 'RIM SETTLER', 'HOVERLORD']",5,"['80', '74', '69', '57', '53']",1553467095,YES,,,0,-LalqfbA896a_x8AS4gh
"['CELEBRITY', 'DESERT SETTLER', 'VENUPHILE']","['CREDICOR', 'MANUTECH', 'ARCADIAN COMMUNITIES', 'VIRON', 'CHEUNG SHING MARS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'LEGEND']",5,"['65', '61', '60', '60', '58']",1553467248,YES,,,0,-LalrFrvGOOaiyVkQbr-
"['MAGNATE', 'EXCENTRIC', 'VENUPHILE']","['TERACTOR', 'INTERPLAN. CINEMATICS', 'ARCADIAN COMMUNITIES', 'CREDICOR']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",13,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'RIM SETTLER']",4,"['97', '95', '81', '73']",1553467328,YES,,,0,-LalrZSvqFVeXO8VNumo
"['MAGNATE', 'CONTRACTOR', 'VENUPHILE']","['MORNING STAR', 'MINING GUILD', 'THORGATE', 'HELION']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",11,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'HOVERLORD']",4,"['92', '88', '79', '63']",1553467414,YES,,"['CERES', 'IO', 'LUNA', 'MIRANDA', 'TITAN', 'TRITON']",0,-LalrtOoCVZTfmM7_vZs
"['ESTATE DEALER', 'BENEFACTOR', 'VENUPHILE']","['BEGINNER', 'ARCADIAN COMMUNITIES', 'VITOR', 'INVENTRIX', 'POINT LUNA']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,ELYSIUM,"['GENERALIST', 'LEGEND', 'HOVERLORD']",5,"['70', '68', '65', '52', '51']",1553467537,YES,,"['CALLISTO', 'GANYMEDE', 'IO', 'LUNA', 'PLUTO', 'TITAN', 'TRITON']",0,-LalsMY2CCzwW1MOCQ-R
"['ESTATE DEALER', 'BENEFACTOR', 'VENUPHILE']","['UNMI', 'THORGATE', 'STORMCRAFT', 'HELION']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",8,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'HOVERLORD']",4,"['71', '66', '64', '53']",1553467849,YES,HR,"['CALLISTO', 'ENCELADUS', 'GANYMEDE', 'LUNA', 'PLUTO', 'TITAN']",1,-LaltZnCKtwwkdnMZ2U1
"['LANDLORD', 'SCIENTIST', 'THERMALIST']","['THARSIS REPUBLIC', 'THORGATE', 'ARCADIAN COMMUNITIES', 'HELION', 'CHEUNG SHING MARS']",YES,"['CORPORATE', 'PRELUDE']",7,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",5,"['65', '60', '58', '51', '50']",1553469495,NO,,,0,-LalzpKVt2wwopVRVpcb
"['LANDLORD', 'BANKER', 'SCIENTIST']","['INVENTRIX', 'ARKLIGHT', 'CHEUNG SHING MARS', 'POSEIDON', 'POINT LUNA']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",10,THARSIS,"['MAYOR', 'BUILDER', 'PLANNER']",5,"['67', '65', '57', '56', '41']",1553478799,YES,US,"['CERES', 'ENCELADUS', 'EUROPA', 'LUNA', 'MIRANDA', 'TITAN', 'TRITON']",1,-LamYKI_GmBG1G67bdeX
['VENUPHILE'],"['VITOR', 'MORNING STAR', 'CREDICOR']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",11,ELYSIUM,['TYCOON'],3,"['125', '104', '100']",1553490231,NO,US,"['EUROPA', 'GANYMEDE', 'LUNA', 'MIRANDA', 'TRITON']",1,-LanDwTFA_tcm7eBF0Su
"['BANKER', 'THERMALIST', 'VENUPHILE']","['APHRODITE', 'CHEUNG SHING MARS', 'MORNING STAR']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES', 'TURMOIL']",4,THARSIS,"['TERRAFORMER', 'BUILDER', 'HOVERLORD']",3,"['20', '20', '20']",1553520210,NO,KR,"['CALLISTO', 'EUROPA', 'IO', 'MIRANDA', 'TITAN']",0,-Lap0I8UJFQEGeX6PF6Z
"['LANDLORD', 'THERMALIST', 'MINER']","['SATURN SYSTEMS', 'HELION']",YES,['CORPORATE'],11,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['102', '89']",1553543840,NO,GB,,0,-LaqQR7hqovwxWH8Rld5
"['BANKER', 'MINER', 'VENUPHILE']","['THORGATE', 'PHOBOLOG', 'POINT LUNA', 'CELESTIC']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES', 'TURMOIL']",8,THARSIS,"['MAYOR', 'GARDENER', 'HOVERLORD']",4,"['83', '74', '73', '71']",1553546410,NO,SE,"['ENCELADUS', 'EUROPA', 'GANYMEDE', 'LUNA', 'MIRANDA', 'TRITON']",2,-Laq_EyQwKQBMm5Cq_Ck
"['CELEBRITY', 'ESTATE DEALER', 'BENEFACTOR']","['SATURN SYSTEMS', 'HELION']",YES,['CORPORATE'],12,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",2,"['101', '96']",1553550722,NO,GB,,0,-LaqpgGG1jWxuFkUEx07
"['BANKER', 'SCIENTIST', 'MINER']","['ARIDOR', 'ARKLIGHT']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",11,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",2,"['99', '92']",1553601805,YES,RU,"['CALLISTO', 'EUROPA', 'IO', 'LUNA', 'MIRANDA', 'TRITON']",0,-LatsYl9M7ClxKkbCmTA
"['DESERT SETTLER', 'ESTATE DEALER', 'BENEFACTOR']","['TERACTOR', 'UNMI', 'PHOBOLOG']",YES,['CORPORATE'],12,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",3,"['95', '91', '62']",1553617829,NO,US,,1,-Laupf5a-7Hl6-6RLFOh
"['CULTIVATOR', 'SPACE BARON', 'CONTRACTOR']","['ECOLINE', 'THARSIS REPUBLIC', 'MINING GUILD']",YES,['CORPORATE'],11,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",3,"['79', '78', '77']",1553617938,NO,US,,2,-Lauq4cZZkePNMW43VH4
"['LANDLORD', 'BANKER', 'SCIENTIST']","['CREDICOR', 'INVENTRIX', 'SATURN SYSTEMS']",YES,['CORPORATE'],11,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",3,"['81', '68', '65']",1553618171,NO,US,,0,-LauqydEK6prPdP7rZ8a
"['LANDLORD', 'SCIENTIST']","['SATURN SYSTEMS', 'THORGATE', 'UNMI']",YES,['CORPORATE'],10,THARSIS,"['MAYOR', 'BUILDER', 'PLANNER']",3,"['94', '85', '70']",1553631560,NO,US,,0,-Lave3C8h74HyuiSSC6o
['SCIENTIST'],"['SATURN SYSTEMS', 'INVENTRIX', 'MINING GUILD']",YES,['CORPORATE'],10,THARSIS,"['TERRAFORMER', 'MAYOR', 'BUILDER']",3,"['77', '76', '55']",1553631610,NO,,,1,-LaveE1GtQstB7HjyBVo
,"['SATURN SYSTEMS', 'POINT LUNA', 'THORGATE']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",13,HELLAS,,3,"['166', '154', '106']",1553635023,YES,NO,"['CALLISTO', 'CERES', 'ENCELADUS', 'LUNA', 'MIRANDA']",0,-LavrGqjkRjbWIuyWOeS
"['LANDLORD', 'SCIENTIST']","['SATURN SYSTEMS', 'INVENTRIX', 'THORGATE']",YES,['CORPORATE'],12,THARSIS,"['MAYOR', 'BUILDER', 'PLANNER']",3,"['84', '78', '71']",1553636770,NO,SE,,0,-LavxuNyDQiwvamjsBkI
"['LANDLORD', 'BANKER', 'THERMALIST']","['PHOBOLOG', 'TERACTOR', 'CREDICOR']",YES,['CORPORATE'],11,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",3,"['89', '78', '76']",1553687909,NO,SE,,1,-Laz-yxIryT5MFJ9esiA
"['SCIENTIST', 'MINER', 'VENUPHILE']","['POLYPHEMOS', 'MANUTECH']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",12,THARSIS,"['MAYOR', 'BUILDER', 'HOVERLORD']",2,"['105', '97']",1553707366,YES,RU,"['ENCELADUS', 'LUNA', 'MIRANDA', 'PLUTO', 'TITAN']",0,-Lb-AEU9Zq74xq_tMRDe
"['CULTIVATOR', 'MAGNATE', 'CONTRACTOR']","['TERACTOR', 'THARSIS REPUBLIC', 'SATURN SYSTEMS', 'UNMI']",NO,"['CORPORATE', 'PRELUDE']",9,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",4,"['65', '64', '61', '55']",1553716603,NO,HU,,0,-Lb-iTMNjS10IaWeazse
"['CULTIVATOR', 'MAGNATE', 'CONTRACTOR']","['TERACTOR', 'THARSIS REPUBLIC', 'SATURN SYSTEMS', 'UNMI']",NO,"['CORPORATE', 'PRELUDE']",9,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",4,"['65', '64', '61', '51']",1553716806,NO,HU,,0,-Lb-jF8lY9uflNLTkoRA
"['BANKER', 'SCIENTIST', 'THERMALIST']","['ROBINSON INDUSTRIES', 'CHEUNG SHING MARS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",11,THARSIS,"['GARDENER', 'BUILDER', 'PLANNER']",2,"['102', '90']",1553744769,NO,US,"['CALLISTO', 'IO', 'LUNA', 'MIRANDA', 'PLUTO']",0,-Lb1OvC9_4jmev86ydwr
"['CULTIVATOR', 'EXCENTRIC']","['ECOLINE', 'CHEUNG SHING MARS']",NO,"['CORPORATE', 'PRELUDE']",11,HELLAS,"['TACTICIAN', 'POLAR EXPLORER', 'ENERGIZER']",2,"['91', '78']",1553748877,NO,US,,0,-Lb1d_fo7J9yL2vQtZbH
"['LANDLORD', 'BANKER', 'THERMALIST']","['THARSIS REPUBLIC', 'MINING GUILD']",NO,"['CORPORATE', 'PRELUDE']",11,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",2,"['96', '87']",1553748953,NO,US,,0,-Lb1ds7t-6N-DiYxArHT
"['MAGNATE', 'SPACE BARON', 'EXCENTRIC']","['SATURN SYSTEMS', 'HELION']",YES,['CORPORATE'],13,HELLAS,"['POLAR EXPLORER', 'ENERGIZER', 'RIM SETTLER']",2,"['109', '102']",1553759717,NO,GB,,0,-Lb2Hwj4_OZ8knFfOdd-
"['SPACE BARON', 'EXCENTRIC', 'CONTRACTOR']","['MINING GUILD', 'PHOBOLOG']",YES,['CORPORATE'],12,HELLAS,"['TACTICIAN', 'POLAR EXPLORER', 'ENERGIZER']",2,"['90', '88']",1553803150,NO,GB,,0,-Lb4scGMfDNsBteb3FrU
"['LANDLORD', 'BANKER', 'SCIENTIST']","['THARSIS REPUBLIC', 'HELION', 'POINT LUNA', 'INTERPLAN. CINEMATICS', 'PHOBOLOG']",NO,"['CORPORATE', 'PRELUDE']",7,THARSIS,"['MAYOR', 'BUILDER', 'PLANNER']",5,"['63', '60', '59', '56', '56']",1553835150,NO,TW,,0,-Lb6mgiBCkTrZs1HcTMU
"['CELEBRITY', 'INDUSTRIALIST', 'ESTATE DEALER']","['INTERPLAN. CINEMATICS', 'TERACTOR', 'SATURN SYSTEMS', 'INVENTRIX', 'UNMI']",YES,['CORPORATE'],10,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",5,"['73', '69', '66', '66', '56']",1553843405,NO,US,,0,-Lb7H96lE3W8UxbtYvtr
"['INDUSTRIALIST', 'DESERT SETTLER', 'BENEFACTOR']","['POINT LUNA', 'HELION']",NO,"['CORPORATE', 'PRELUDE']",13,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",2,"['112', '89']",1553874023,NO,US,,1,-Lb95z-dtEFP4LC_tpvB
"['LANDLORD', 'SCIENTIST', 'THERMALIST']","['PHOBOLOG', 'MINING GUILD']",YES,['CORPORATE'],14,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['121', '117']",1553890885,NO,GB,,0,-LbA6JD6PNQmyK_KQmOK
"['INDUSTRIALIST', 'ESTATE DEALER', 'BENEFACTOR']","['PHOBOLOG', 'MINING GUILD']",YES,['CORPORATE'],13,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'LEGEND']",2,"['100', '79']",1553890955,NO,GB,,0,-LbA6_Q_kX9QuCD509yw
"['BANKER', 'SCIENTIST']","['MINING GUILD', 'PHOBOLOG']",YES,['CORPORATE'],13,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",2,"['110', '97']",1553898728,NO,GB,,0,-LbA_DzT6qTv4xT74ph1
"['BANKER', 'SCIENTIST', 'MINER']","['HELION', 'UNMI', 'INTERPLAN. CINEMATICS', 'PHOBOLOG']",NO,"['CORPORATE', 'PRELUDE']",11,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",4,"['95', '87', '77', '69']",1553911268,NO,NL,,0,-LbBK3xScvQhJZlGNjHi
"['SCIENTIST', 'THERMALIST', 'MINER']","['POSEIDON', 'CELESTIC', 'MORNING STAR', 'HELION', 'SATURN SYSTEMS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",9,THARSIS,"['TERRAFORMER', 'MAYOR', 'HOVERLORD']",5,"['76', '74', '73', '70', '70']",1553911727,NO,US,"['CERES', 'EUROPA', 'IO', 'MIRANDA', 'PLUTO', 'TITAN', 'TRITON']",2,-LbBLoGa7_UiW8Ja-01N
"['ESTATE DEALER', 'BENEFACTOR', 'VENUPHILE']","['CHEUNG SHING MARS', 'THARSIS REPUBLIC', 'ROBINSON INDUSTRIES', 'POSEIDON']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES', 'TURMOIL']",8,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'LEGEND']",4,"['77', '70', '68', '64']",1553922768,NO,CA,"['CALLISTO', 'ENCELADUS', 'EUROPA', 'GANYMEDE', 'PLUTO', 'TRITON']",0,-LbC-w2iFI0KgXOD19-o
"['CULTIVATOR', 'MAGNATE', 'EXCENTRIC']","['VITOR', 'THARSIS REPUBLIC']",NO,"['CORPORATE', 'PRELUDE', 'COLONIES']",13,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",2,"['147', '131']",1553973161,NO,,"['EUROPA', 'IO', 'LUNA', 'PLUTO', 'TITAN']",1,-LbF09oZjFmq04CqAPNL
"['DESERT SETTLER', 'BENEFACTOR', 'VENUPHILE']","['CHEUNG SHING MARS', 'MORNING STAR']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",13,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",2,"['149', '105']",1553974296,NO,US,"['CALLISTO', 'CERES', 'GANYMEDE', 'LUNA', 'MIRANDA']",1,-LbF4V1u0pPrM5Q9nbDZ
"['SPACE BARON', 'CONTRACTOR', 'VENUPHILE']","['UNMI', 'TERACTOR']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",12,HELLAS,"['POLAR EXPLORER', 'ENERGIZER', 'RIM SETTLER']",2,"['122', '122']",1553974419,NO,US,"['CALLISTO', 'CERES', 'IO', 'PLUTO', 'TRITON']",0,-LbF4xw5lgHir41Bqysk
"['LANDLORD', 'BANKER', 'SCIENTIST']","['CHEUNG SHING MARS', 'VITOR', 'ROBINSON INDUSTRIES']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",11,THARSIS,"['MAYOR', 'GARDENER', 'HOVERLORD']",3,"['95', '95', '77']",1553979763,YES,RU,"['EUROPA', 'GANYMEDE', 'LUNA', 'MIRANDA', 'TITAN']",0,-LbFPLaeUSEiX1izlTGJ
"['CELEBRITY', 'INDUSTRIALIST', 'DESERT SETTLER']","['THORGATE', 'CELESTIC', 'CHEUNG SHING MARS', 'UNMI', 'POINT LUNA']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",7,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'LEGEND']",5,"['60', '60', '51', '51', '45']",1553979783,YES,CA,"['GANYMEDE', 'IO', 'LUNA', 'MIRANDA', 'PLUTO', 'TITAN', 'TRITON']",0,-LbFPQXjRsvLyyMqXE41
"['LANDLORD', 'MINER', 'VENUPHILE']","['ECOLINE', 'THARSIS REPUBLIC', 'UNMI', 'TERACTOR', 'CREDICOR']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",8,THARSIS,"['MAYOR', 'GARDENER', 'HOVERLORD']",5,"['70', '64', '61', '55', '51']",1553992434,YES,CA,"['CERES', 'EUROPA', 'IO', 'LUNA', 'PLUTO', 'TITAN', 'TRITON']",0,-LbG9gA6WKjj0WxUWZLC
"['CULTIVATOR', 'SPACE BARON', 'VENUPHILE']","['MORNING STAR', 'SATURN SYSTEMS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",12,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'RIM SETTLER']",2,"['127', '123']",1554061194,YES,CZ,"['EUROPA', 'IO', 'MIRANDA', 'TITAN', 'TRITON']",0,-LbKFzVbnkpC4EhvRacj
"['CULTIVATOR', 'CONTRACTOR']","['TERACTOR', 'ECOLINE', 'SATURN SYSTEMS']",YES,['CORPORATE'],9,HELLAS,"['POLAR EXPLORER', 'ENERGIZER', 'RIM SETTLER']",3,"['69', '64', '58']",1554078588,NO,US,,1,-LbLIKfN9V1rA2yDZdLG
"['CELEBRITY', 'DESERT SETTLER', 'BENEFACTOR']","['TERACTOR', 'THORGATE', 'THARSIS REPUBLIC']",YES,['CORPORATE'],11,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",3,"['85', '77', '69']",1554078666,NO,US,,1,-LbLIcUu9Xwkdrbam7eo
"['DESERT SETTLER', 'ESTATE DEALER', 'VENUPHILE']","['VALLEY TRUST', 'POLYPHEMOS', 'CELESTIC', 'TERACTOR', 'CHEUNG SHING MARS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES', 'TURMOIL']",8,ELYSIUM,"['SPECIALIST', 'LEGEND', 'HOVERLORD']",5,"['87', '78', '73', '68', '60']",1554084804,NO,HK,"['CALLISTO', 'ENCELADUS', 'EUROPA', 'GANYMEDE', 'IO', 'MIRANDA', 'PLUTO']",1,-LbLf2ZDlijGNG0hmagl
['BENEFACTOR'],"['THORGATE', 'INVENTRIX', 'TERACTOR']",YES,['CORPORATE'],9,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",3,"['66', '61', '57']",1554094989,NO,US,,0,-LbMGtZ_49ZpC95fkO5A
"['BANKER', 'SCIENTIST', 'THERMALIST']","['ARKLIGHT', 'STORMCRAFT', 'VALLEY TRUST', 'HELION', 'ARIDOR']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",8,THARSIS,"['TERRAFORMER', 'BUILDER', 'HOVERLORD']",5,"['82', '79', '73', '60', '55']",1554096233,NO,US,"['CALLISTO', 'ENCELADUS', 'EUROPA', 'GANYMEDE', 'LUNA', 'PLUTO', 'TITAN', 'TRITON']",1,-LbMLdvhISigA-BAj96u
"['CELEBRITY', 'INDUSTRIALIST', 'ESTATE DEALER']","['ECOLINE', 'THARSIS REPUBLIC', 'CREDICOR', 'THORGATE']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",10,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",4,"['108', '104', '85', '65']",1554129825,NO,US,"['EUROPA', 'GANYMEDE', 'IO', 'LUNA', 'TITAN', 'TRITON']",1,-LbOLmrMF6kPxWHcj-bF
"['CELEBRITY', 'ESTATE DEALER', 'BENEFACTOR']","['MINING GUILD', 'PHOBOLOG']",YES,['CORPORATE'],12,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",2,"['101', '97']",1554148325,NO,GB,,0,-LbPSMZKr6OJwpYXMTLi
,"['POSEIDON', 'THORGATE', 'ECOLINE']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",10,ELYSIUM,,3,"['105', '98', '91']",1554149954,NO,SE,"['CALLISTO', 'GANYMEDE', 'LUNA', 'MIRANDA', 'PLUTO']",0,-LbPY_N_qgioCwbqzbC1
"['EXCENTRIC', 'CONTRACTOR']","['POINT LUNA', 'TERACTOR']",YES,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES', 'TURMOIL']",14,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'POLAR EXPLORER']",2,"['166', '148']",1554150043,NO,DE,"['ENCELADUS', 'EUROPA', 'GANYMEDE', 'IO', 'TITAN']",0,-LbPYtPEtysQMGiXS3O8
"['CULTIVATOR', 'EXCENTRIC', 'CONTRACTOR']","['ECOLINE', 'POINT LUNA', 'SATURN SYSTEMS', 'POSEIDON']",NO,"['CORPORATE', 'VENUS', 'PRELUDE', 'COLONIES']",8,HELLAS,"['POLAR EXPLORER', 'ENERGIZER', 'RIM SETTLER']",4,"['79', '73', '70', '59']",1554186914,YES,HR,"['CALLISTO', 'CERES', 'ENCELADUS', 'LUNA', 'PLUTO', 'TRITON']",0,-LbRk_E1TiBFfg7z5rRn
"['CELEBRITY', 'ESTATE DEALER', 'BENEFACTOR']","['PHOBOLOG', 'VITOR']",YES,"['CORPORATE', 'PRELUDE']",10,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",2,"['91', '77']",1554219293,NO,US,,0,-LbTg4dKUpt5JZB51t_r
"['CULTIVATOR', 'EXCENTRIC', 'CONTRACTOR']","['VITOR', 'CHEUNG SHING MARS', 'MINING GUILD', 'SATURN SYSTEMS']",YES,"['CORPORATE', 'PRELUDE']",10,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'ENERGIZER']",4,"['93', '89', '81', '78']",1554235191,NO,US,,0,-LbUciw1ZLl2j9S6Qoiv
"['LANDLORD', 'THERMALIST']","['PHOBOLOG', 'UNMI', 'VALLEY TRUST']",YES,"['CORPORATE', 'PRELUDE']",9,THARSIS,"['TERRAFORMER', 'MAYOR', 'BUILDER']",3,"['75', '73', '44']",1554235315,NO,US,,0,-LbUdCIXQukzuTyB5lh1
